,"index","category","uid","model_id","part","sentences","aspect","sentiment","train_test"
0,1650,"Телевизоры",1224226,6168701,"minuses","аналоговое тв слегка размыыто","functionality","positive","train"
1,23,"Телевизоры",1224197,6168701,"pluses","-читает mkv, avi, mp3, wma, wmv,jpeg","functionality","positive","train"
2,39,"Телевизоры",1224202,6168701,"pluses"," качество картинки","functionality","positive","train"
3,1593,"Телевизоры",1224204,6168701,"minuses"," телевизор просто не успевает обрабатывать изображение и местами бывает что персонажи движутся быстро чтобы ""нагнать тормоза""","functionality","negative","train"
4,365,"Телевизоры",1224289,6168701,"pluses","звук","functionality","positive","train"
5,237,"Телевизоры",1224253,6168701,"pluses","очень быстро прочитал жесткий диск 750гб заполнен почти полностью","functionality","positive","train"
6,2527,"Телевизоры",1224234,6168701,"comment","в польской сборке с префиксом 12 проблем с засветкой не обнаружил","functionality","positive","train"
7,260,"Телевизоры",1224258,6168701,"pluses"," через hdmi - картинка с компа супер, игры - бомба","functionality","positive","train"
8,1697,"Телевизоры",1224250,6168701,"minuses","- разницы между стерео и моно звуком никакой, настройка баланса правового и левого почти незаметна","functionality","negative","train"
9,1621,"Телевизоры",1224216,6168701,"minuses"," функция таймера","functionality","negative","train"
10,2653,"Телевизоры",1224292,6168701,"comment","по поводу качества звука - господа, очнитесь, любой плоский тв по определению будет плохо звучать","functionality","positive","train"
11,198,"Телевизоры",1224243,6168701,"pluses"," картинка изумительная","functionality","positive","train"
12,4555,"Телевизоры",1224319,6168701,"minuses","не все файлы mp4 проигрывает, даже с последней прошивкой","functionality","negative","train"
13,2570,"Телевизоры",1224257,6168701,"comment","качество же эфирного тв на телевизоре не проверял ввиду ненадобности - приобретал исключительно для просмотра fullhd","functionality","positive","train"
14,1595,"Телевизоры",1224204,6168701,"minuses"," другие каналы показывают с самого начала нормально","functionality","negative","train"
15,106,"Телевизоры",1224218,6168701,"pluses"," автомасштабирование (убирает сверху и снизу черные полосы при сохранении пропорций)","functionality","positive","train"
16,4311,"Телевизоры",1224307,6168701,"pluses","отличное качество видео особено если смотреть фильмы блю рей","functionality","positive","train"
17,185,"Телевизоры",1224239,6168701,"pluses","отличная картинка  просто прекрасная","functionality","positive","train"
18,1755,"Телевизоры",1224275,6168701,"minuses"," он очень тихий (относительно конкурентов) и не очень внятный","functionality","negative","train"
19,2474,"Телевизоры",1224220,6168701,"comment"," вставил флешку 8гб - фотки супер на таком-то экране","functionality","positive","train"
20,2616,"Телевизоры",1224275,6168701,"comment","вердикт - нужна хорошая картинка - несомненно брать","functionality","positive","train"
21,172,"Телевизоры",1224235,6168701,"pluses"," читает очень многие форматы","functionality","positive","train"
22,1616,"Телевизоры",1224212,6168701,"minuses"," звук как минусовка из караоке, как будто формат миди проигрывается","functionality","negative","train"
23,357,"Телевизоры",1224291,6168701,"pluses","- хорошая картинка","functionality","positive","train"
24,1686,"Телевизоры",1224247,6168701,"minuses","звук - в спартанских традициях","functionality","negative","train"
